"State","Year","under19_pop_prct","white_pop_prct","Income","income_adj","educ_spending","governor","house","senate"
"NV",2000,0.280499578697812,0.852642315185554,45760,63606.4,4523.981934,1,-1,1
"NV",2001,0.278336007594361,0.846959991879523,45400,61744,4599.391113,1,-1,1
"NV",2002,0.277263085549623,0.841248767705819,44960,59796.8,4689.370117,1,-1,1
"NV",2003,0.276396825043911,0.836028192187118,45180,58734,4790.590332,1,-1,1
"NV",2004,0.275839200212086,0.830234308603363,47200,59944,4802.238281,1,-1,1
"NV",2005,0.275528618177467,0.82349310875224,48210,59298.3,4921.263184,1,-1,1
"NV",2006,0.275759139764487,0.816602964016525,52280,62213.2,5172.057617,1,-1,1
"NV",2007,0.27617382371576,0.810314747150406,54060,62709.6,5460.338867,1,-1,1
"NV",2008,0.275521078673364,0.80465023383064,54740,60761.4,5553.6875,1,-1,1
"NV",2009,0.274427535651562,0.800363546289761,51430,57601.6,5565.950195,1,-1,-1
"NV",2010,0.271403065047615,0.79638507181566,51200,56320,5622.132324,1,-1,-1
"NV",2011,0.266789544112389,0.793637405860517,47040,50332.8,5671.125488,1,-1,-1
"NV",2012,0.262632671476198,0.789735480663966,47330,49696.5,5365.794922,1,-1,-1
"NV",2013,0.259941569973739,0.786350356812213,48610,50068.3,5389.45752,1,-1,-1
"NY",1997,0.276798181185306,0.760146706684078,35800,53700,7048.431641,1,-1,1
"NY",1998,0.275080766559611,0.756840378705246,37390,54963.3,7369.800781,1,-1,1
"NY",1999,0.274744349663515,0.753904057809453,39990,57585.6,7691.911133,1,-1,1
"NY",2000,0.274020433875142,0.750799346166517,40740,56628.6,8174.84375,1,-1,1
"NY",2001,0.272170103838852,0.748389731129091,42110,57269.6,8463.81543,1,-1,1
"NY",2002,0.27055643804408,0.745971846293722,41970,55820.1,8827.958984,1,-1,1
"NY",2003,0.268537983980863,0.743821306482045,42790,55627,9189.327148,1,-1,1
"NY",2004,0.266575444771938,0.74186898754807,44650,56705.5,9520.670898,1,-1,1
"NY",2005,0.264110228557421,0.739403719617972,47180,58031.4,9834.21582,1,-1,1
"NY",2006,0.261817043208005,0.736857257279662,48220,57381.8,10220.61621,1,-1,1
"NY",2007,0.259536329465274,0.734443757126352,48940,56770.4,10584.57324,-1,-1,1
"NY",2008,0.257414156122628,0.731702424408857,50460,56010.6,11062.26172,-1,-1,1
"NY",2009,0.254945676365327,0.72886465504391,50220,56246.4,11495.22266,-1,-1,-1
"NY",2010,0.252010399240655,0.725974359220197,49780,54758,11774.30566,-1,-1,-1
"NY",2011,0.249016564285759,0.723673500932677,50640,54184.8,11843.74707,-1,-1,1
"NY",2012,0.246150857725353,0.72140132096714,47680,50064,11856.53125,-1,-1,1
"NY",2013,0.243485026609922,0.719099855399747,51905,53462.15,12587.49023,-1,-1,1
"OH",1997,0.284994524869613,0.869395639421542,36130,54195,4764.308594,1,1,1
"OH",1998,0.284906223168984,0.867748730145932,38930,57227.1,5048.479492,1,1,1
"OH",1999,0.284252134938751,0.865996015686712,39490,56865.6,5287.216797,1,1,1
"OH",2000,0.282887036199889,0.863883297665174,42960,59714.4,5511.564941,1,1,1
"OH",2001,0.281034202352002,0.862010077099223,41790,56834.4,5703.421875,1,1,1
"OH",2002,0.278940915361291,0.86015151444759,42680,56764.4,5936.981934,1,1,1
"OH",2003,0.277197705807926,0.858342454621808,43520,56576,6282.395996,1,1,1
"OH",2004,0.275941472117578,0.856659533571173,43060,54686.2,6588.756836,1,1,1
"OH",2005,0.274112735228538,0.854782994804298,44200,54366,6603.04834,1,1,1
"OH",2006,0.272460845382801,0.852994278566211,45900,54621,6647.385742,1,1,1
"OH",2007,0.271190007224054,0.851198316451122,49100,56956,6617.116211,-1,1,1
"OH",2008,0.269687585944759,0.849469375377701,46930,52092.3,6726.530762,-1,1,1
"OH",2009,0.267802311687086,0.847933574906045,45880,51385.6,6870.349609,-1,-1,1
"OH",2010,0.265116987667228,0.84634930467403,45890,50479,7017.866699,-1,-1,1
"OH",2011,0.261949525941121,0.844863639588267,44650,47775.5,7037.102539,1,1,1
"OH",2012,0.258907865261549,0.843179576138831,44380,46599,7111.835449,1,1,1
"OH",2013,0.256544361062287,0.840950914786998,48575,50032.25,6834.961914,1,1,1
"OK",1997,0.295063886837417,0.819486219198397,31350,47025,4168.168945,1,-1,-1
"OK",1998,0.294940317644164,0.817437126930213,33730,49583.1,4369.047363,1,-1,-1
"OK",1999,0.292326164694149,0.814681769502439,32680,47059.2,4580.033203,1,-1,-1
"OK",2000,0.290051572430823,0.811893068624769,32430,45077.7,4726.007324,1,-1,-1
"OK",2001,0.287501946872026,0.809815407689423,35610,48429.6,5008.807129,1,-1,-1
"OK",2002,0.285211001180827,0.807736709963658,36460,48491.8,5288.804199,1,-1,-1
"OK",2003,0.283142533350528,0.805767481565766,35900,46670,5166.84668,-1,-1,-1
"OK",2004,0.2808583148972,0.803743468871419,39610,50304.7,5027.161133,-1,-1,-1
"OK",2005,0.279605150993477,0.80178757971108,37650,46309.5,5265.04248,-1,1,-1
